<http://dbpedia.org/resource/Category:Futurama>,Futurama
<http://dbpedia.org/resource/Category:World_War_II>,World War II
<http://dbpedia.org/resource/Category:Programming_languages>,Programming languages
<http://dbpedia.org/resource/Category:Professional_wrestling>,Professional wrestling
<http://dbpedia.org/resource/Category:Algebra>,Algebra
<http://dbpedia.org/resource/Category:Anime>,Anime
<http://dbpedia.org/resource/Category:Abstract_algebra>,Abstract algebra
<http://dbpedia.org/resource/Category:Mathematics>,Mathematics
<http://dbpedia.org/resource/Category:Linear_algebra>,Linear algebra
<http://dbpedia.org/resource/Category:Calculus>,Calculus
<http://dbpedia.org/resource/Category:Calculus>,pound cake in india
<http://dbpedia.org/resource/Category:Calculus>,pound cake